,titleId,title,titleType,originalTitle,startYear,runtimeMinutes,genres,moyenneVote,NombreVotes
76812,tt0402438,"Piccolo, Saxo & Cie",movie,"Piccolo, Saxo et compagnie",2006.0,78.0,"Animation,Family",,
76813,tt0402438,"Piccolo, Saxo et compagnie",movie,"Piccolo, Saxo et compagnie",2006.0,78.0,"Animation,Family",,
76824,tt0402547,Tout pour l'oseille,movie,Tout pour l'oseille,2004.0,94.0,Comedy,,
76827,tt0402595,Je t'aime toi,movie,Ya lyublyu tebya,2004.0,83.0,"Comedy,Romance",,
76836,tt0402850,The Big White,movie,The Big White,2005.0,100.0,"Comedy,Crime,Drama",,
76837,tt0402893,Cas clinique,short,Cas clinique,1999.0,8.0,"Comedy,Short",,
76840,tt0402901,La Crypte,movie,The Cave,2005.0,97.0,"Adventure,Horror,Sci-Fi",,
76841,tt0402906,Un rêve tchèque,movie,Ceský sen,2004.0,90.0,"Comedy,Documentary",,
76844,tt0402931,Le coma des mortels,short,Le coma des mortels,2004.0,42.0,"Sci-Fi,Short",,
76852,tt0403087,Quoi de neuf docteur - La famille avant tout,tvMovie,Growing Pains: Return of the Seavers,2004.0,87.0,"Comedy,Family",,
76853,tt0403100,La pègre,movie,Haryu insaeng,2004.0,105.0,"Action,Crime,Drama",,
76856,tt0403204,L'Enfant renard,movie,Kitsune no kureta akanbô,1971.0,89.0,"Action,Drama",,
76860,tt0403237,Dans ses rêves,tvMovie,Everything You Want,2005.0,91.0,"Comedy,Drama,Romance",,
76861,tt0403291,Le menteur,tvMovie,Le menteur,2004.0,90.0,Comedy,,
76866,tt0403407,La fraternité,movie,Perfect Creature,2006.0,90.0,"Action,Drama,Fantasy",,
76872,tt0403463,La routine,short,La routine,2004.0,5.0,"Animation,Short",,
76873,tt0403473,La révolution des crabes,short,La révolution des crabes,2004.0,5.0,"Animation,Comedy,Short",,
76874,tt0403478,Saturday night frayeur,short,Saturday night frayeur,2002.0,12.0,"Comedy,Short",,
76881,tt0403522,Royal Sun,movie,Solkongen,2005.0,86.0,"Comedy,Drama",,
76891,tt0403702,Be Bad!,movie,Youth in Revolt,2009.0,90.0,"Comedy,Drama,Romance",,
76892,tt0403703,Yu-Gi-Oh! Le film,movie,Yu-Gi-Oh! The Movie,2004.0,90.0,"Action,Adventure,Animation",,
76893,tt0403703,Yu-Gi-Oh! Le film: La pyramide de lumière,movie,Yu-Gi-Oh! The Movie,2004.0,90.0,"Action,Adventure,Animation",,
76903,tt0403856,Bahador,short,Bahador,2000.0,27.0,"Animation,Family,Short",,
76911,tt0403950,Gladiateurs,tvMovie,Colosseum: Rome's Arena of Death,2003.0,59.0,"Action,Documentary,Drama",,
76913,tt0403964,De là à là,short,De là à là,2002.0,5.0,"Animation,Short",,
76915,tt0403976,Les dessous de la passion,tvMovie,Les dessous de la passion,1991.0,95.0,Comedy,,
76922,tt0404039,La Femme qui a vu l'Ours,short,La Femme qui a vu l'Ours,2003.0,24.0,"Comedy,Short",,
76926,tt0404098,Haute coiffure,tvMovie,Haute coiffure,2004.0,95.0,Comedy,,
76927,tt0404115,L'homme idéal,short,L'homme idéal,1996.0,5.0,"Comedy,Short",,
76940,tt0404225,Max Havoc - La malédiction du dragon,movie,Max Havoc: Curse of the Dragon,2004.0,90.0,Action,,
76941,tt0404247,Le garçon à sa maman,short,Mors lille Ole,2003.0,14.0,"Comedy,Short",,
76945,tt0404261,Méprise d'otage,tvMovie,Méprise d'otage,1992.0,100.0,Comedy,,
76950,tt0404317,La pension,short,La pension,1987.0,35.0,"Comedy,Short",,
76952,tt0404337,La Mante,movie,Le festin de la mante,2004.0,96.0,"Romance,Sci-Fi,Thriller",,
76964,tt0404526,Un otage de trop,tvMovie,Un otage de trop,1993.0,85.0,Comedy,,
76979,tt0404756,Alien Apocalypse,tvMovie,Alien Apocalypse,2005.0,88.0,"Adventure,Sci-Fi",,
76987,tt0404805,Le ballon prisonnier,short,Le ballon prisonnier,2002.0,13.0,"Comedy,Short",,
76994,tt0404883,Clochemerle,tvMovie,Clochemerle,2004.0,100.0,Comedy,,
76996,tt0404921,Divine comédie,short,Divine comédie,2001.0,10.0,"Comedy,Short",,
76999,tt0404940,Toute première fois,tvMovie,Endlich Sex!,2004.0,90.0,"Comedy,Romance",,
77001,tt0404978,Gambit: Arnaque à l'anglaise,movie,Gambit,2012.0,89.0,"Comedy,Crime",,
77012,tt0405096,Le Noël des coccinelles,movie,Lepatriinude jõulud,2001.0,54.0,"Animation,Family",,
77013,tt0405119,Love Express,movie,Love Express,2004.0,90.0,Comedy,,
77017,tt0405139,Le manian,short,Le manian,2004.0,15.0,"Comedy,Drama,Short",,
77032,tt0405296,A Scanner Darkly,movie,A Scanner Darkly,2006.0,100.0,"Animation,Comedy,Crime",,
77034,tt0405325,L'école fantastique,movie,Sky High,2005.0,100.0,"Action,Comedy,Family",,
77037,tt0405377,Miss Ibiza,tvMovie,Bei hübschen Frauen sind alle Tricks erlaubt,2004.0,98.0,"Comedy,Romance",,
77039,tt0405393,Rudo et Cursi,movie,Rudo y Cursi,2008.0,103.0,"Comedy,Drama,Sport",,
77043,tt0405454,Vive le fric,movie,Vive le fric,1985.0,83.0,Comedy,,
77044,tt0405458,La Vénus à Lulu,tvMovie,La Vénus à Lulu,1991.0,90.0,Comedy,,
77045,tt0405469,The Wild,movie,The Wild,2006.0,82.0,"Adventure,Animation,Comedy",,
77058,tt0405629,Aaltra,movie,Aaltra,2004.0,92.0,"Comedy,Drama",,
77091,tt0406106,Nozomi. Witchiizu,movie,Nozomi. Witchiizu,1990.0,100.0,"Comedy,Romance,Sport",,
77101,tt0406375,Zathura : Une aventure spatiale,movie,Zathura: A Space Adventure,2005.0,101.0,"Action,Adventure,Comedy",,
77118,tt0406542,Atún y chocolate,movie,Atún y chocolate,2004.0,91.0,Comedy,,
77119,tt0406546,Les aventures extraordinaires de Michel Strogoff,movie,Les aventures extraordinaires de Michel Strogoff,2004.0,87.0,Animation,,
77127,tt0406635,Ces aléas-là,short,Ces aléas-là,2004.0,3.0,"Comedy,Short",,
77139,tt0406661,Clementine,movie,Clementine,2004.0,100.0,"Action,Drama",,
77142,tt0406670,Le cou de Clarisse,short,Le cou de Clarisse,2003.0,40.0,"Comedy,Short",,
77147,tt0406709,Dies irae,short,Dies irae,2003.0,14.0,"Comedy,Short",,
77149,tt0406728,Donjons & dragons - La puissance suprême,tvMovie,Dungeons & Dragons: Wrath of the Dragon God,2005.0,105.0,"Action,Adventure,Fantasy",,
77156,tt0406773,Les filles du calendrier sur scène,tvMovie,Les filles du calendrier sur scène,2004.0,90.0,Comedy,,
77170,tt0406942,Route sans issue,movie,Lost,2004.0,90.0,"Action,Adventure,Thriller",,
77171,tt0406945,L'amour muet,short,Love and Deaf,2004.0,8.0,"Comedy,Short",,
77178,tt0407028,La méthode anglaise,short,La méthode anglaise,2004.0,12.0,"Comedy,Short",,
77191,tt0407121,Winnie l'ourson et l'éfélant,movie,Pooh's Heffalump Movie,2005.0,68.0,"Adventure,Animation,Comedy",,
77199,tt0407246,Mexican Kids,movie,Temporada de patos,2004.0,90.0,"Comedy,Drama",,
77200,tt0407251,Les textiles,movie,Les textiles,2004.0,92.0,"Comedy,Drama",,
77201,tt0407265,Transamerica,movie,Transamerica,2005.0,103.0,"Adventure,Comedy,Drama",7.3,42904.0
77203,tt0407269,Amours & trahisons,movie,The Truth About Love,2005.0,100.0,"Comedy,Romance",,
77206,tt0407279,Une route de la soie,short,Une route de la soie,2004.0,13.0,"Animation,Documentary,Short",,
77214,tt0407338,Double zéro de conduite,movie,Zero in condotta,1983.0,95.0,Comedy,,
77223,tt0407351,L'île bleue,tvMovie,L'île bleue,1983.0,82.0,"Romance,Sci-Fi",,
